model,size,nodes,edges,time,mem
edas.owl,688,592,1192,0.037,5394
edatatypeColumn,80,6,5,0.008,3
editor,696,433,703,0.023,2339
editutil,18,38,37,0.007,55
EDP,104,44,68,0.01,-42278
education,29,15,20,0.006,60
EEFGen,60,34,44,0.007,5
efactory,82,46,65,0.008,502
efeature,97,7,6,0.006,5
EG,31,20,42,0.006,61
egis,24,13,17,0.006,69
ej-ast,475,272,521,0.018,1846
eJava,39,18,22,0.007,262
ejb,586,158,233,0.014,1217
ekaw.owl,777,670,1370,0.044,6736
electrical,37,17,31,0.009,5
element,10,3,2,0.005,517
elementRegistry,28,17,20,0.007,58
Elf,26,14,17,0.006,67
elrGrammar,53,32,51,0.008,621
em,65,26,25,0.007,3
embedded,107,18,22,0.006,66
embeddedid,55,7,7,0.006,0
emf,93,53,88,0.009,514
emf.uuid.library.example,22,11,16,0.007,120
emfacade,160,74,113,0.092,851
emffrag,112,21,22,0.007,0
emffrag_internal,16,7,6,0.006,121
emfgenbug,11,7,6,0.006,515
emfprofileapplication,48,15,19,0.008,5
emftasks,49,33,36,0.006,65
emftools,44,11,11,0.007,375
EMOF,94,53,103,0.008,576
Employee,82,19,35,0.008,56
enactment,28,17,19,0.006,337
Entities,34,21,29,0.007,119
Entity,24,13,20,0.005,0
EntityDefinition,188,56,79,0.009,451
EntityLang,88,15,22,0.007,581
entityNote,10,3,2,0.006,3
entityrelation,71,40,66,0.008,60
enum,10,4,4,0.005,391
EnumLiterals,16,7,6,0.006,6
Enumliterals2,17,9,9,0.007,5
environment,180,96,176,0.011,122
eocl,11,3,2,0.007,416
Epatch,104,51,75,0.007,517
epc,67,37,79,0.009,127
Epk,84,62,119,0.009,325
Epla2,91,25,40,0.008,58
epn,964,133,199,0.013,1085
epo2,75,44,62,0.008,61
EQN,40,26,55,0.012,329
EqualMM,153,26,56,0.008,570
Equipment,3474,419,672,0.03,2601
ER,25,13,17,0.005,471
Erdiagram,76,45,73,0.007,121
erlang,461,291,494,0.019,1601
errorannex,221,111,164,0.012,631
esb,383,277,365,0.016,1428
eshop,33,22,26,0.007,0
ESMF,1264,405,703,0.026,3138
Eso,48,26,30,0.007,3
EssentialOCL,143,85,148,0.011,631
EssentialOCLCST,175,92,157,0.011,957
esx,2521,2322,2425,0.099,-33870
ETMap,99,19,22,0.008,3
