model,nodes,edges,time,mem
fact,75,103,9,1003
Families,10,11,8,214
family,18,25,9,297
FCM,128,151,12,839
featherweightjava,37,71,9,492
Feature,12,15,8,606
featureDiagram,40,77,9,443
FeatureDiagrams,31,56,8,460
featuremodel,38,56,8,419
Features,11,15,9,208
feature_old,73,124,12,584
Februar,11,15,8,223
FederationOffice,244,376,18,1457
felix,119,148,12,1009
Fiber,37,52,8,414
fieldmapping,12,13,10,217
FieldSelection,12,15,8,234
FileHistory,12,13,8,214
filetransfer,22,22,8,450
filter,54,67,9,620
filtermodel,3,2,8,307
FilterSetup,37,83,9,494
Fin,63,82,10,460
FiniteStateMachine,23,50,10,461
Firewalll,16,20,7,249
fiw,5,4,8,208
FJ,52,86,11,455
fl,33,48,9,418
flat11,86,113,10,643
FlatQVT,416,837,51,1306
FlatSignalFlow,55,106,11,508
Flow,81,134,10,709
flowchart,56,99,10,497
flowcontrol,38,66,8,498
FlowDesigner,25,35,9,335
FlowDsl,45,57,9,514
FlowerDiagramNotation,58,116,11,566
FlowGraph,38,86,9,564
flow_concept,22,38,10,282
flow_edge,13,23,10,308
flow_noedge,9,14,6,271
FML,63,87,10,503
fmusim,28,41,9,271
fnmeta,36,47,10,487
Forge,98,111,11,731
form,34,39,11,291
format,9514,12936,506,42959
formatter,9,9,10,338
Forms,169,235,35,1249
formsembedded,4,3,7,217
formsextension,4,3,10,275
formsfamily,30,48,7,413
FormularMM,24,34,10,441
FoundationModel,168,221,15,1075
Fouroperation,13,18,7,247
fr.medieval.model,22,34,10,428
Fractal,96,149,11,794
FractalIdt,9,9,7,211
FractalItf,171,261,14,1016
frascati,50,55,9,423
freemarker,3,2,8,228
Freemind,80,103,12,629
frontend.attribution,30,50,11,384
frontend.chain,21,36,9,384
frontend.core,153,261,16,1013
frontend.imperative,21,29,9,233
frontend.koan,22,33,9,292
frontend.mappings,112,190,14,843
frontend.pat,28,44,11,441
frontend.qool,76,124,11,690
frontend.script,14,15,7,248
frontend.tao,38,65,10,462
fsa,14,24,8,249
fsm-noOpposite,20,29,8,227
fsm,20,35,8,371
fsml,6,7,7,224
fsm_with_ids,22,37,8,424
fUML,358,679,24,2363
Function,53,87,11,533
functions,23,38,9,384
furniture,30,41,11,356
futsal,75,115,11,490
FwitRequirementsModel,87,86,10,665
FXBean,38,47,11,347
fxg,516,666,24,2618
FXGraph,97,150,12,809
GACL,59,97,11,490
GAIA,55,90,10,514
gamelogic,90,142,11,645
games,11,14,8,178
