model,nodes,edges,time,mem
gameserver,8,15,8,278
GameServerModel,38,72,8,430
gameworld,69,108,12,590
Gantt,52,60,10,455
Gatekeeper,172,241,15,1072
gautosar,362,627,23,2331
gbind,268,572,21,1899
gcomponent,107,169,12,647
Gdbsl,5,5,26,161
gedcoml,60,81,9,455
General,192,218,14,951
generatedModel,15,23,7,293
generatedModel2,16,25,7,293
generatedplugin,34,36,10,316
generator2,3,2,7,162
GenericEditor,32,48,10,316
genericity_dsl,36,58,9,679
GenericOutline,21,32,10,313
generics,43,54,32,5282
Genesis,22,32,8,355
GenModel,186,240,15,1079
GenModel2,17,19,9,338
genotype,32,61,10,1090
Geographical,92,135,12,743
GeoTrans,1,0,4,195
germplasm,94,156,15,1909
GF,209,314,18,1249
Gherkin,39,59,10,382
GIS_Connectivity,375,573,24,2469
GitModel,33,51,14,3600
globalinfluenzamodel,7,6,7,195
Glproto,10,9,10,195
Glsl,160,277,17,1079
glucose,68,84,11,549
gmfgen,756,1141,37,4845
gmfgenext,63,76,9,512
gmfgraph,235,368,17,1475
gmfgraph_1.23,214,333,16,1254
gmfgraph_1.24,215,335,16,1264
gmfgraph_1.25,216,337,17,1389
gmfgraph_1.26,218,341,17,1399
gmfgraph_1.30,229,356,16,1430
gmfmap,155,259,15,1046
gmfmap_2007,139,232,15,1045
Golang,2321,2319,86,4604
GoModel,8,7,6,188
googleanalytics,4,3,8,210
gore,76,117,12,945
gpx,126,136,11,857
Gra2MoL,156,196,12,879
graal-featureextensions,4,3,6,209
graal,72,134,12,679
gradingsystem,29,39,10,367
Grafcet,1,0,7,344
grammar,28,43,6,367
graph,22,30,9,343
graphdef,111,156,11,749
GraphEditor,36,50,10,344
GraphEditorModel,13,19,8,208
GraphicalProcessEditorModel,20,31,7,343
graphics,22,34,10,367
graphiti,171,269,13,1072
GraphML,49,74,10,389
graphO,16,21,7,211
graphTransformation,56,108,8,522
GraphViewMapping,23,38,11,340
GraphViewStyle,12,12,8,341
