model,nodes,edges,time,mem
GAIA,55,90,8,437
gamelogic,90,142,11,651
games,11,14,7,207
gameserver,8,15,6,207
GameServerModel,38,72,7,395
gameworld,69,108,8,586
Gantt,52,60,8,395
Gatekeeper,172,241,13,1000
gautosar,362,627,23,2355
gbind,268,572,21,1902
gcomponent,107,169,12,770
Gdbsl,5,5,23,216
gedcoml,60,81,9,435
General,192,218,14,1009
generatedModel,15,23,13,207
generatedModel2,16,25,14,351
generatedplugin,34,36,9,384
generator2,3,2,7,195
GenericEditor,32,48,7,383
genericity_dsl,36,58,9,669
GenericOutline,21,32,7,353
generics,43,54,38,4623
Genesis,22,32,6,219
GenModel,186,240,14,1086
GenModel2,17,19,9,219
genotype,32,61,10,1185
Geographical,92,135,12,619
GeoTrans,1,0,5,208
germplasm,94,156,14,1812
GF,209,314,16,1258
Gherkin,39,59,7,419
GIS_Connectivity,375,573,22,2517
GitModel,33,51,13,3640
globalinfluenzamodel,7,6,7,219
Glproto,10,9,5,219
Glsl,160,277,15,1086
glucose,68,84,11,608
gmfgen,756,1141,35,4842
gmfgenext,63,76,9,557
gmfgraph,235,368,17,1387
gmfgraph_1.23,214,333,17,1319
gmfgraph_1.24,215,335,16,1324
gmfgraph_1.25,216,337,16,1334
gmfgraph_1.26,218,341,18,1355
gmfgraph_1.30,229,356,17,1380
gmfmap,155,259,15,1094
gmfmap_2007,139,232,12,972
Golang,2321,2319,79,4697
GoModel,8,7,7,206
googleanalytics,4,3,5,229
gore,76,117,12,906
gpx,126,136,10,916
Gra2MoL,156,196,12,817
graal-featureextensions,4,3,10,229
graal,72,134,9,596
gradingsystem,29,39,7,401
Grafcet,1,0,5,228
grammar,28,43,7,400
graph,22,30,7,229
graphdef,111,156,12,770
GraphEditor,36,50,11,373
GraphEditorModel,13,19,9,226
GraphicalProcessEditorModel,20,31,8,229
graphics,22,34,8,372
graphiti,171,269,13,1076
GraphML,49,74,8,401
graphO,16,21,7,229
graphTransformation,56,108,9,573
GraphViewMapping,23,38,8,375
GraphViewStyle,12,12,6,375
GraphVizDot,45,64,9,375
Greetings,9,13,6,228
groundspeak,72,83,9,596
GSML,31,44,6,401
gsn,19,29,8,375
gsz,28,45,9,401
GUI,101,128,11,594
GuiceModules,15,19,8,373
GUIdancerComponentHierarchy,15,25,7,375
Guixdsl,9,11,7,226
GWPNV1,12,27,7,228
GWPNV2,22,53,7,400
GWPNV3,19,44,6,375
GWPNV4,20,45,7,375
GWPNV5,23,52,7,375
GXL,11,16,5,229
Hadoop,39,45,8,376
HAL,1,0,7,376
harmonica,25,32,8,376
HaxeDSL,41,57,8,401
hazard,61,69,8,450
hbauditing,25,26,8,401
hbmodel,50,53,9,568
Headline,3,2,7,226
hedl,42,66,9,547
Hello,5,5,6,226
HelloBuck,5,5,7,228
HelloInferrer,12,13,6,228
HelloJvmTypes,9,10,6,229
HelloScoping,12,16,6,229
HelloXbase,7,7,8,228
henshin,85,162,12,745
henshinlayout,21,24,7,229
hExample_1_RHS,5,5,6,229
hExample_3_RHS,4,3,6,228
hExample_4_LHS,4,3,6,228
hExample_4_RHS,3,2,6,228
hExample_6_LHS,13,17,6,229
hexfile,12,13,6,226
HierarchicalSignalFlow,1,0,5,226
HierarchicalStateMachine,60,131,9,596
highway,170,186,13,721
hipadaba,30,35,7,375
hivpredrt,36,41,8,401
Hm,359,435,22,2152
hockeyleague,78,99,10,573
HOOPL,17,25,8,228
house,44,70,7,400
HPROF,72,102,9,596
