operation,metamodel,metric,best_model,consistency,linear_r2,exponential_r2,poly2_r2,poly3_r2,poly4_r2,poly5_r2,worst_file,worst_model
Create,SqliteModel,time,linear,0.8333333333333334,0.9971188162761297,0.49265201648741297,0.9995453074756018,0.9999112359854878,1.0,1.0,Create_run_24.csv,exponential
Create,SqliteModel,mem,poly2,1.0,0.8251447560982961,0.19582686502640043,0.9978492433232387,0.9999334214930453,1.0,1.0,Create_run_3.csv,exponential
Create,StaticScript,time,linear,0.6,0.9961274803575475,0.4747251239324306,0.9999139525857722,0.9999767931935252,1.0,1.0,Create_run_4.csv,exponential
Create,StaticScript,mem,poly3,0.5,0.8196999672710228,0.22102432689851229,0.9950517978136453,0.9998990912582848,1.0,1.0,Create_run_6.csv,exponential
Create,timing-diagram,time,linear,1.0,0.9996343069004696,0.6018143188689979,0.999843538063386,0.9999274756537584,1.0,1.0,Create_run_22.csv,exponential
Create,timing-diagram,mem,poly2,0.8666666666666667,0.5996748694785448,0.059607748738908777,0.9965907448861293,0.9998716777449547,1.0,1.0,Create_run_2.csv,exponential
Create,Transformation,time,linear,1.0,0.9992068546093616,0.6553445634782376,0.9997580077826397,0.9999340666886932,1.0,1.0,Create_run_12.csv,exponential
Create,Transformation,mem,poly3,0.5333333333333333,0.9344251317040247,0.4244057846289028,0.9948598831880264,0.9999370100290104,1.0,1.0,Create_run_3.csv,exponential
Create,widget,time,linear,0.9333333333333333,0.9984860413251048,0.44763899053775386,0.9999262954287517,0.9999896843060081,1.0,1.0,Create_run_2.csv,exponential
Create,widget,mem,poly2,0.7333333333333333,0.8876356653666048,0.32233601695984343,0.995718100997138,0.9999167797022349,1.0,1.0,Create_run_1.csv,exponential
Delete,ApplauseDsl,time,linear,0.5333333333333333,0.9931820566274262,0.5972648050582486,0.9992748945625658,0.9997325360124459,1.0,1.0,Delete_run_1.csv,exponential
Delete,ApplauseDsl,mem,poly4,0.5666666666666667,0.26827370278621365,0.031214428945620282,0.634216605835362,0.9888911189741609,1.0,1.0,Delete_run_1.csv,exponential
Delete,AthenaDSL,time,linear,1.0,0.9985327920612878,0.5775466241620107,0.9998135906714023,0.9999553594281109,1.0,1.0,Delete_run_8.csv,exponential
Delete,AthenaDSL,mem,poly3,1.0,0.678929119075616,0.3182536970279479,0.8448080767739612,0.9990386293689919,1.0,1.0,Delete_run_2.csv,exponential
Delete,AtsDsl,time,poly2,1.0,0.9812178801630715,0.6874211832631661,0.999492523697269,0.9999697877445812,1.0,1.0,Delete_run_30.csv,exponential
Delete,AtsDsl,mem,poly3,0.6,0.5291098531142837,0.37267574554001104,0.5630866187433605,0.9940037079306986,1.0,1.0,Delete_run_14.csv,exponential
Delete,business,time,linear,0.8666666666666667,0.9979527114094665,0.4208121427721201,0.9996651343464791,0.9999148356634716,1.0,1.0,Delete_run_1.csv,exponential
Delete,business,mem,poly4,0.6333333333333333,0.7738808074045481,0.8111921156840454,0.8318036019138473,0.9871305270155085,1.0,1.0,Delete_run_1.csv,linear
Delete,CoreDsl,time,linear,1.0,0.999033666935197,0.6790585504484772,0.9993877372793939,0.999958214024036,1.0,1.0,Delete_run_2.csv,exponential
Delete,CoreDsl,mem,poly4,1.0,0.5412870055044047,0.2831277094608066,0.7906464395261854,0.7990284423607737,1.0,1.0,Delete_run_1.csv,exponential
Delete,CssExtDsl,time,linear,1.0,0.9983865116364946,0.5484262820235208,0.9989167573393035,0.999920784659629,1.0,1.0,Delete_run_2.csv,exponential
Delete,CssExtDsl,mem,poly4,0.9333333333333333,0.7986400709855591,0.5220777918001055,0.915607052548596,0.9610368102189148,1.0,1.0,Delete_run_1.csv,exponential
Delete,DialogScript,time,poly2,0.8666666666666667,0.9502653546720853,0.9821309960707321,0.999147209609243,0.9994915500897785,1.0,1.0,Delete_run_2.csv,linear
Delete,DialogScript,mem,poly4,1.0,0.896469187103521,0.7296731397437882,0.9155058011400087,0.9181858023913486,1.0,1.0,Delete_run_1.csv,exponential
Delete,environment,time,poly2,0.9333333333333333,0.9006001699802598,0.8988232493311578,0.9968544619429193,0.999798301923064,1.0,1.0,Delete_run_1.csv,exponential
Delete,environment,mem,poly3,1.0,0.7197960729613643,0.525027866195378,0.7305312741507619,0.9989221500334948,1.0,1.0,Delete_run_1.csv,exponential
Delete,erlang,time,poly2,0.9666666666666667,0.9806218124051763,0.5901227934663474,0.9992919592332131,0.9998704201083051,1.0,1.0,Delete_run_23.csv,exponential
Delete,erlang,mem,poly4,0.9666666666666667,0.4069636527332118,0.323867287123722,0.4404516456781355,0.9925413730549671,1.0,1.0,Delete_run_1.csv,exponential
Delete,esb,time,poly2,1.0,0.9340567199991647,0.6991925995410782,0.9997313698487397,0.9999089311894018,1.0,1.0,Delete_run_2.csv,exponential
Delete,esb,mem,poly3,0.9666666666666667,0.7838730655289045,0.6911991323352127,0.8020509752643065,0.9977876296005374,1.0,1.0,Delete_run_30.csv,exponential
Delete,EventOrientedLanguage,time,linear,1.0,0.9984085741069574,0.6294388931002257,0.9998963950312476,0.999928105952047,1.0,1.0,Delete_run_17.csv,exponential
